bg,eq_BG,CGM_glucose,IOB,rate,running_temp,unsafe_action_reason
100,82,100.0,0.4,0,0,Null
100,65,100.0,0.798,0,0,Null
100,66,100.0,0.792,0,0,Null
100,68,100.0,0.783,0,0,Null
100,51,100.0,1.17,0,0,Null
100,53,100.0031931176726,1.153,0,0,Null
100.01,55,100.01491887028301,1.132,0,0,Null
100.04,57,100.04183661073586,1.107,0,0,Null
100.09,59,100.09128473729676,1.08,0,0,Null
100.17,62,100.17079589252633,1.05,0,0,Null
100.29,63,100.28774173498891,1.019,0,0,Null
100.29,65,100.44908372899062,0.986,0,0,Null
100.29,66,100.66120908898513,0.951,0,0,Null
100.29,69,100.92983365129291,0.916,0,0,Null
100.29,71,101.25995602663698,0.88,0,0,Null
100.29,72,101.65584986423656,0.844,0,0,Null
100.29,74,102.12108337291463,0.807,0,0,Null
100.29,76,102.658557347307,0.77,0,0,Null
100.29,77,103.27055480564292,0.734,0,0,Null
100.29,79,103.95879694607456,0.698,0,0,Null
100.29,81,104.72450147360739,0.662,0,0,Null
100.29,81,105.56844045389855,0.627,0,0,Null
100.29,66,106.49099573609429,0.991,0,0,Null
100.29,67,107.49221068132802,0.955,0,0,Null
100.29,69,108.5718374647497,0.917,0,0,Null
100.29,71,109.72937961455855,0.879,0,0,Null
100.29,72,110.9641297369459,0.841,0,0,Null
100.29,74,112.27520257377422,0.802,0,0,Null
100.29,76,113.66156366971062,0.764,0,0,Null
100.29,78,115.12205400373102,0.726,0,0,Null
100.29,79,116.65541097977496,0.689,0,0,Null
100.29,81,118.26028618356412,0.652,0,0,Null
100.29,83,119.93526030560216,0.616,0,0,Null
100.29,83,121.67885561061158,0.58,0,0,Null
100.29,68,123.48954630601085,0.945,0,0,Null
100.29,69,125.36576713008377,0.907,0,0,Null
100.29,71,127.30592044682672,0.87,0,0,Null
100.29,73,129.30838210087717,0.833,0,0,Null
100.29,75,131.3715062536322,0.795,0,0,Null
100.29,76,133.49362939141594,0.758,0,0,Null
100.29,78,135.6730736687809,0.721,0,0,Null
100.29,80,137.9081497249269,0.684,0,0,Null
100.29,81,140.19715908882844,0.648,0,0,Null
100.29,82,142.53839626890112,0.613,0,0,Null
100.29,83,144.93015060576704,0.578,0,0,Null
100.29,85,147.37070795171456,0.544,0,0,Null
100.29,68,149.85835222758345,0.91,0,0,Null
100.29,70,152.39136689683366,0.876,0,0,Null
100.29,71,154.96803638726877,0.841,0,0,Null
100.29,73,157.58664748308573,0.806,0,0,Null
100.29,75,160.24549070343,0.771,0,0,Null
100.29,76,162.9428616782808,0.736,0,0,Null
100.29,78,165.67706252812326,0.701,0,0,Null
100.29,79,168.4464032503478,0.667,0,0,Null
100.29,81,171.24920311252973,0.633,0,0,Null
100.29,82,174.08379205057884,0.6,0,0,Null
100.29,84,176.9485120681128,0.568,0,0,Null
100.29,84,179.8417186322204,0.537,0,0,Null
100.29,69,182.76178205996615,0.906,0,0,Null
100.29,70,185.70708888948548,0.874,0,0,Null
100.29,71,188.67604322927446,0.842,0,0,Null
100.29,73,191.66706807924407,0.809,0,0,Null
100.29,74,194.6786066172427,0.775,0,0,Null
100.29,76,197.70912344502054,0.742,0,0,Null
100.29,77,200.7571057879827,0.708,0,0,Null
100.29,79,203.82106464353026,0.675,0,0,Null
100.29,80,206.8995358732965,0.642,0,0,Null
100.29,82,209.9910812351327,0.609,0,0,Null
100.29,83,213.09428935126675,0.577,0,0,Null
100.29,84,216.20777660963464,0.546,0,0,Null
100.29,68,219.33018799596198,0.914,0,0,Null
100.29,70,222.46019785473692,0.882,0,0,Null
100.29,71,225.59651057776298,0.848,0,0,Null
100.29,73,228.73786121950315,0.814,0,0,Null
100.29,74,231.88301603892128,0.779,0,0,Null
100.29,76,235.0307729679894,0.744,0,0,Null
100.29,77,238.17996200745844,0.71,0,0,Null
100.29,79,241.3294455508826,0.676,0,0,Null
100.29,80,244.4781186382445,0.643,0,0,Null
100.29,82,247.6249091408472,0.61,0,0,Null
100.29,83,250.7687778794237,0.576,0,0,Null
100.29,84,253.90871867766077,0.545,0,0,Null
100.29,68,257.04375835354773,0.913,0,0,Null
100.29,70,260.1729566511405,0.88,0,0,Null
100.29,71,263.29540611547816,0.847,0,0,Null
100.29,73,266.4102319135082,0.813,0,0,Null
100.29,74,269.5165916039657,0.779,0,0,Null
100.29,76,272.61367485921494,0.743,0,0,Null
100.29,77,275.70070314210176,0.708,0,0,Null
100.29,79,278.7769293408814,0.675,0,0,Null
100.29,80,281.8416373652834,0.641,0,0,Null
100.29,82,284.8941417067541,0.608,0,0,Null
100.29,83,287.93378696587837,0.576,0,0,Null
100.29,84,290.95994734993076,0.545,0,0,Null
100.29,68,293.9720261434404,0.913,0,0,Null
100.29,70,296.96945515457844,0.88,0,0,Null
100.29,71,299.95169414009007,0.847,0,0,Null
100.29,73,302.9182302114013,0.813,0,0,Null
100.29,74,305.86857722442846,0.777,0,0,Null
100.29,76,308.80227515551513,0.743,0,0,Null
100.29,77,311.71888946581015,0.708,0,0,Null
100.29,79,314.61801045628897,0.675,0,0,Null
100.29,80,317.49925261550635,0.641,0,0,Null
100.29,82,320.3622539620528,0.608,0,0,Null
100.29,83,323.2066753835723,0.576,0,0,Null
100.29,84,326.0321999740829,0.545,0,0,Null
100.29,68,328.83853237123026,0.913,0,0,Null
100.29,70,331.6253980949894,0.88,0,0,Null
334.39,1164,334.392542889223,0.847,2.1,0,Null
337.14,309,337.13973206739564,1.212,2.1,2.1,Null
339.87,314,339.8667498636404,1.175,2.1,2.1,Null
342.57,318,342.5733987902735,1.136,2.1,2.1,Null
345.25,323,345.24558223363704,1.096,2.1,2.1,Null
347.86,327,347.8586967720083,1.054,2.1,2.1,Null
350.38,331,350.38048994187284,1.013,2.1,2.1,Null
352.77,317,352.77347306380176,1.369,1.95,2.1,Null
355,938,354.99696708087833,1.723,1.25,1.95,Null
357.01,290,357.0088449220178,2.073,0.7,1.25,Null
358.77,277,358.7670195691209,2.416,0.7,0.7,Null
360.23,280,360.231755326938,2.354,0.7,0.7,Null
361.37,283,361.3713520306729,2.287,0.7,0.7,Null
362.17,286,362.16535951256105,2.216,0.7,0.7,Null
362.6,289,362.60293862981945,2.142,0.7,0.7,Null
362.68,291,362.6813750751117,2.065,0.7,0.7,Null
362.4,275,362.40472880116147,2.384,0.7,0.7,Null
361.78,277,361.7826094671001,2.302,0.7,0.7,Null
360.83,278,360.8290723106185,2.217,0.7,0.7,Null
359.56,280,359.56163052999835,2.131,0.7,0.7,Null
358,280,358.0003805231237,2.044,0.7,0.7,Null
356.17,281,356.1672358081342,1.956,0.8,0.7,Null
354.09,264,354.0852645744373,2.267,0.8,0.8,Null
351.78,265,351.778124866784,2.177,0.8,0.8,Null
349.27,265,349.26959056302917,2.085,0.7,0.8,Null
346.58,248,346.5824850060402,2.392,0.7,0.7,Null
343.74,249,343.73858028640024,2.298,0.7,0.7,Null
340.76,250,340.75852492292364,2.2,0.7,0.7,Null
337.66,250,337.6624554896731,2.104,0.7,0.7,Null
334.47,251,334.46975641336223,2.008,0.7,0.7,Null
331.2,251,331.19887874012693,1.911,0.9,0.7,Null
327.87,234,327.86720968227775,2.215,0.7,0.9,Null
324.49,217,324.490985324442,2.518,0.7,0.7,Null
321.09,219,321.0852395023587,2.419,0.7,0.7,Null
317.66,220,317.66254026859133,2.319,0.7,0.7,Null
314.23,221,314.2346355414449,2.218,0.7,0.7,Null
310.81,223,310.81239387382413,2.115,0.7,0.7,Null
307.41,224,307.40577299913656,2.014,0.7,0.7,Null
304.02,207,304.02381086708397,2.312,0.7,0.7,Null
300.67,208,300.6746345703768,2.208,0.7,0.7,Null
297.37,210,297.36548320191395,2.107,0.7,0.7,Null
294.1,211,294.1027412667263,2.006,0.7,0.7,Null
